Order #,Service,Was package delivered,Cost to deliver
1,UPS Ground,1,12.91
2,UPS SurePost,1,9.0
3,UPS Ground,1,8.58
4,UPS Ground,1,10.21
5,UPS Ground,1,9.05
6,UPS SurePost,1,7.93
7,UPS Ground,1,10.75
8,UPS Ground,1,7.22
9,UPS Ground,1,7.5
10,UPS SurePost,1,9.03
11,UPS Ground,1,9.96
12,UPS Ground,1,10.6
13,UPS Ground,1,13.25
14,UPS Ground,1,10.18
15,UPS SurePost,1,10.04
16,UPS Ground,1,8.31
17,UPS SurePost,1,10.33
18,UPS SurePost,1,8.09
19,UPS SurePost,1,9.12
20,UPS Ground,1,9.81
21,UPS SurePost,1,10.79
22,UPS Ground,1,7.73
23,UPS SurePost,0,5.05
24,UPS SurePost,1,8.63
25,UPS SurePost,1,9.81
26,UPS SurePost,1,9.26
27,UPS SurePost,1,11.13
28,UPS SurePost,1,9.76
29,UPS SurePost,1,8.02
30,UPS SurePost,1,4.97
31,UPS Ground,1,9.59
32,UPS Ground,1,11.78
33,UPS SurePost,1,8.32
34,UPS SurePost,1,9.05
35,UPS SurePost,1,9.73
36,UPS Ground,1,8.24
37,UPS SurePost,1,10.08
38,UPS Ground,0,12.84
39,UPS Ground,1,9.7
40,UPS Ground,1,8.04
41,UPS Ground,1,9.88
42,UPS Ground,1,6.15
43,UPS SurePost,1,9.58
44,UPS SurePost,1,9.78
45,UPS SurePost,1,11.9
46,UPS SurePost,1,8.66
47,UPS SurePost,1,9.71
48,UPS Ground,1,8.51
49,UPS SurePost,1,8.38
50,UPS SurePost,1,6.36
51,UPS Ground,1,9.66
52,UPS SurePost,1,8.47
53,UPS Ground,1,10.52
54,UPS SurePost,1,7.92
55,UPS Ground,1,10.14
56,UPS SurePost,1,8.42
57,UPS SurePost,1,8.43
58,UPS Ground,1,10.14
59,UPS Ground,1,10.07
60,UPS Ground,1,11.32
61,UPS Ground,1,9.79
62,UPS Ground,1,9.39
63,UPS Ground,1,9.69
64,UPS Ground,1,8.76
65,UPS Ground,1,9.38
66,UPS SurePost,1,12.52
67,UPS SurePost,1,7.42
68,UPS Ground,1,9.52
69,UPS SurePost,1,8.33
70,UPS SurePost,1,8.57
71,UPS SurePost,1,8.43
